IP地址,端口,地区
8.223.63.150,443,🇭🇰 香港 01
202.85.53.77,7000,🇭🇰 香港 02
202.85.53.160,7000,🇭🇰 香港 03
45.121.138.23,26688,🇭🇰 香港 04
47.76.218.163,443,🇭🇰 香港 05
206.237.17.226,443,🇭🇰 香港 06
103.96.74.18,16000,🇭🇰 香港 07
47.57.181.17,443,🇭🇰 香港 08
107.148.239.178,16027,🇭🇰 香港 09
103.194.107.166,443,🇭🇰 香港 10
178.239.123.216,24443,🇸🇬 新加坡 01
213.35.127.9,17534,🇸🇬 新加坡 02
27.50.48.59,2096,🇸🇬 新加坡 03
129.150.48.17,443,🇸🇬 新加坡 04
146.235.19.79,28983,🇸🇬 新加坡 05
92.243.74.4,8443,🇸🇬 新加坡 06
129.150.32.171,6443,🇸🇬 新加坡 07
140.245.42.30,443,🇸🇬 新加坡 08
152.42.236.151,8443,🇸🇬 新加坡 09
213.35.100.31,47112,🇸🇬 新加坡 10
138.3.217.167,587,🇯🇵 日本 01
45.66.130.58,51002,🇯🇵 日本 02
43.167.186.55,80,🇯🇵 日本 03
152.69.199.70,8443,🇯🇵 日本 04
109.123.231.212,2053,🇯🇵 日本 05
64.110.102.9,16071,🇯🇵 日本 06
203.189.233.99,8443,🇯🇵 日本 07
152.70.101.24,16044,🇯🇵 日本 08
8.216.5.125,2053,🇯🇵 日本 09
64.110.104.30,443,🇯🇵 日本 10
220.130.160.137,20880,🇨🇳 台湾 01
203.69.248.40,10443,🇨🇳 台湾 02
203.69.248.40,33699,🇨🇳 台湾 03
60.251.232.240,995,🇨🇳 台湾 04
60.248.139.106,12128,🇨🇳 台湾 05
150.116.138.187,11211,🇨🇳 台湾 06
60.248.139.106,10016,🇨🇳 台湾 07
60.248.139.106,23281,🇨🇳 台湾 08
60.248.139.106,11017,🇨🇳 台湾 09
60.248.139.106,12755,🇨🇳 台湾 10
222.113.18.218,12281,🇰🇷 韩国 01
121.172.62.176,12256,🇰🇷 韩国 02
121.139.161.31,12494,🇰🇷 韩国 03
112.167.200.35,12119,🇰🇷 韩国 04
118.33.246.38,18033,🇰🇷 韩国 05
221.164.8.208,12187,🇰🇷 韩国 06
59.18.217.182,21233,🇰🇷 韩国 07
112.187.184.215,21305,🇰🇷 韩国 08
125.137.12.172,12238,🇰🇷 韩国 09
183.103.148.247,16031,🇰🇷 韩国 10
162.159.24.74,443,🇺🇸 美国 01
172.64.154.196,443,🇺🇸 美国 02
154.17.23.32,8443,🇺🇸 美国 03
185.148.14.102,443,🇺🇸 美国 04
166.117.184.30,443,🇺🇸 美国 05
43.162.119.244,443,🇺🇸 美国 06
45.12.90.217,443,🇺🇸 美国 07
45.67.223.140,20053,🇺🇸 美国 08
154.17.16.168,443,🇺🇸 美国 09
103.99.179.119,441,🇺🇸 美国 10
